naam;bron_url;eigen_domein;imio_site;pv_url;heeft_pdfs;heeft_jaarpaginas;pdf_count;aanbeveling;opmerkingen
Gerpinnes;https://www.deliberations.be/gerpinnes;https://www.gerpinnes.be;True;https://www.gerpinnes.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;False;16;EIGEN SITE: https://www.gerpinnes.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;16 PDF(s) gevonden (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux)
Grez-Doiceau;https://www.deliberations.be/grez-doiceau;https://www.grez-doiceau.be;True;;False;False;0;deliberations.be (ongewijzigd);
Grâce-Hollogne;https://deliberations.be/grace-hollogne;https://www.grace-hollogne.be;True;https://www.grace-hollogne.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;True;2;EIGEN SITE: https://www.grace-hollogne.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;Jaarpagina's gevonden: ['2023', '2022', '2021'] (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux) - PDFs op subpaginas mogelijk | 2 PDF(s) gevonden op jaarpagina https://www.grace-hollogne.be/ma-commune/vie-politique/conseil-communal/proces-verbaux/2023
Ham-sur-Heure-Nalinnes;https://www.deliberations.be/ham-sur-heure-nalinnes;https://www.ham-sur-heure-nalinnes.be;False;https://www.ham-sur-heure-nalinnes.be/vie-politique/conseil-communal/pv-du-conseil;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Hamoir;https://www.deliberations.be/hamoir;https://www.hamoir.be;True;;False;False;0;deliberations.be (ongewijzigd);
Hamois;https://www.deliberations.be/hamois;https://www.hamois.be;True;;False;False;0;deliberations.be (ongewijzigd);
Havelange;https://www.deliberations.be/havelange;https://www.havelange.be;True;;False;False;0;deliberations.be (ongewijzigd);
Hensies;https://www.deliberations.be/hensies;https://www.hensies.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Honnelles;https://www.deliberations.be/honnelles;https://www.honnelles.be;True;https://www.honnelles.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;False;28;EIGEN SITE: https://www.honnelles.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;28 PDF(s) gevonden (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux)
Houffalize;https://www.deliberations.be/houffalize;https://www.houffalize.be;True;;False;False;0;deliberations.be (ongewijzigd);
Houyet;https://www.deliberations.be/houyet;https://www.houyet.be;False;https://www.houyet.be/conseil-communal/proces-verbaux;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Huy;https://www.deliberations.be/huy;https://www.huy.be;True;;False;False;0;deliberations.be (ongewijzigd);
Hélécine;https://deliberations.be/helecine;https://www.helecine.be;True;;False;False;0;deliberations.be (ongewijzigd);
Héron;https://www.deliberations.be/heron;https://www.heron.be;True;https://www.heron.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;False;39;EIGEN SITE: https://www.heron.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;39 PDF(s) gevonden (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux)
Incourt;https://www.deliberations.be/incourt;https://www.incourt.be;True;;False;False;0;deliberations.be (ongewijzigd);
Ittre;https://www.deliberations.be/ittre;https://www.ittre.be;True;;False;False;0;deliberations.be (ongewijzigd);
Jalhay;https://www.deliberations.be/jalhay;https://www.jalhay.be;False;https://www.jalhay.be/vie-politique/conseil-communal/proces-verbaux;True;False;146;EIGEN SITE: https://www.jalhay.be/vie-politique/conseil-communal/proces-verbaux;Eigen website is GEEN iMio-site | 146 PDF(s) gevonden (pad: /vie-politique/conseil-communal/proces-verbaux)
Jemeppe-sur-Sambre;https://www.deliberations.be/jemeppe-sur-sambre;https://www.jemeppe-sur-sambre.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Juprelle;https://www.deliberations.be/juprelle;https://www.juprelle.be;True;;False;False;0;deliberations.be (ongewijzigd);
Jurbise;https://www.deliberations.be/jurbise;https://www.jurbise.be;True;https://www.jurbise.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;False;62;EIGEN SITE: https://www.jurbise.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;62 PDF(s) gevonden (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux)
La Bruyère;https://deliberations.be/la-bruyere;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
La Hulpe;https://www.deliberations.be/la-hulpe;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
La Roche-en-Ardenne;https://www.deliberations.be/la-roche-en-ardenne;https://www.la-roche-en-ardenne.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Lasne;https://www.deliberations.be/lasne;https://www.lasne.be;True;;False;False;0;deliberations.be (ongewijzigd);
Le Roeulx;https://deliberations.be/le-roeulx;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
Lens;https://www.deliberations.be/lens;https://www.lens.be;True;;False;False;0;deliberations.be (ongewijzigd);
Les Bons Villers;https://www.deliberations.be/les-bons-villers;https://www.les-bons-villers.be;True;;False;False;0;deliberations.be (ongewijzigd);
Lessines;https://www.deliberations.be/lessines;https://www.lessines.be;True;https://www.lessines.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;False;True;0;deliberations.be (ongewijzigd);Jaarpagina's gevonden: ['2026', '2025', '2024'] (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux) - PDFs op subpaginas mogelijk
Libin;https://www.deliberations.be/libin;https://www.libin.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Libramont-Chevigny;https://www.deliberations.be/libramont;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
